UNIQUE_id,PSYCH_big_five_inventory_neurotic_score,CONNECTION_activities_greeted_neighbour_or_stranger_p3m
cscs_00217,NA,Daily or almost daily
cscs_00218,NA,NA
cscs_00219,NA,NA
cscs_00220,NA,Daily or almost daily
cscs_00221,NA,NA
cscs_00222,NA,NA
cscs_00224,NA,NA
cscs_00225,12,Weekly
cscs_00226,NA,Daily or almost daily
cscs_00227,NA,NA
cscs_00228,NA,NA
cscs_00229,NA,Less than monthly
cscs_00230,32,Monthly
cscs_00231,NA,Weekly
cscs_00232,NA,NA
cscs_00233,NA,NA
cscs_00234,NA,Daily or almost daily
cscs_00235,NA,NA
cscs_00236,NA,A few times a week
cscs_00237,NA,NA
cscs_00238,NA,NA
cscs_00239,NA,NA
cscs_00240,18,A few times a week
cscs_00241,NA,Less than monthly
cscs_00242,NA,A few times a month
cscs_00243,NA,NA
cscs_00244,NA,NA
cscs_00245,NA,NA
cscs_00246,30,A few times a month
cscs_00247,30,A few times a week
cscs_00248,NA,NA
cscs_00249,NA,NA
cscs_00250,NA,NA
cscs_00251,NA,NA
cscs_00252,NA,NA
cscs_00253,NA,A few times a month
cscs_00253,NA,Not in the past three months
cscs_00254,NA,Daily or almost daily
cscs_00255,NA,NA
cscs_00256,16,NA
cscs_00257,18,NA
cscs_00258,NA,A few times a month
cscs_00259,NA,A few times a month
cscs_00261,NA,A few times a month
cscs_00262,NA,NA
cscs_00263,NA,NA
cscs_00264,34,A few times a week
cscs_00265,NA,A few times a month
cscs_00267,NA,A few times a month
cscs_00268,NA,NA
cscs_00269,20,A few times a week
cscs_00270,NA,NA
cscs_00271,NA,A few times a week
cscs_00272,NA,Daily or almost daily
cscs_00273,NA,NA
cscs_00274,32,Daily or almost daily
cscs_00276,NA,NA
cscs_00277,NA,Daily or almost daily
cscs_00279,NA,Daily or almost daily
cscs_00280,NA,Less than monthly
cscs_00283,NA,A few times a month
cscs_00284,NA,NA
cscs_00285,NA,NA
cscs_00286,NA,NA
cscs_00287,NA,NA
cscs_00288,15,Daily or almost daily
cscs_00289,NA,NA
cscs_00290,NA,NA
cscs_00291,NA,Daily or almost daily
cscs_00292,NA,NA
cscs_00293,NA,Monthly
cscs_00294,NA,Daily or almost daily
cscs_00295,NA,NA
cscs_00296,NA,NA
cscs_00297,NA,A few times a week
cscs_00298,NA,NA
cscs_00299,NA,NA
cscs_00300,NA,A few times a week
cscs_00301,NA,NA
cscs_00303,NA,Less than monthly
cscs_00304,23,Weekly
cscs_00305,NA,NA
cscs_00307,NA,NA
cscs_00308,NA,NA
cscs_00309,NA,NA
cscs_00310,26,Daily or almost daily
cscs_00311,NA,A few times a week
cscs_00312,NA,NA
cscs_00313,NA,NA
cscs_00314,NA,NA
cscs_00316,NA,A few times a week
cscs_00317,NA,NA
cscs_00318,NA,NA
cscs_00319,24,A few times a week
cscs_00320,NA,NA
cscs_00321,NA,A few times a month
cscs_00323,NA,Monthly
cscs_00325,NA,NA
cscs_00326,NA,Weekly
cscs_00327,NA,NA
cscs_00328,NA,NA
cscs_00329,NA,Not in the past three months
cscs_00330,NA,A few times a month
cscs_00332,NA,A few times a week
cscs_00333,NA,Daily or almost daily
cscs_00334,NA,NA
cscs_00335,NA,NA
cscs_00336,NA,Monthly
cscs_00337,NA,NA
cscs_00338,NA,NA
cscs_00339,NA,A few times a month
cscs_00339,NA,NA
cscs_00339,NA,A few times a week
cscs_00340,NA,A few times a week
cscs_00341,NA,NA
cscs_00342,NA,NA
cscs_00343,NA,NA
cscs_00344,NA,NA
cscs_00345,NA,NA
cscs_00346,22,Less than monthly
cscs_00347,22,A few times a month
cscs_00349,NA,NA
cscs_00350,NA,NA
cscs_00351,23,Weekly
cscs_00352,NA,NA
cscs_00353,26,Monthly
cscs_00354,NA,Weekly
cscs_00355,NA,A few times a month
cscs_00356,NA,A few times a week
cscs_00357,NA,A few times a month
cscs_00358,NA,NA
cscs_00359,34,NA
cscs_00360,NA,Less than monthly
cscs_00363,21,Weekly
cscs_00365,NA,Monthly
cscs_00366,NA,NA
cscs_00367,37,Daily or almost daily
cscs_00368,NA,NA
cscs_00369,NA,A few times a week
cscs_00370,NA,NA
cscs_00371,NA,Weekly
cscs_00372,NA,A few times a month
cscs_00373,NA,NA
cscs_00374,23,NA
cscs_00375,NA,Less than monthly
cscs_00376,NA,NA
cscs_00377,NA,Daily or almost daily
cscs_00378,NA,Less than monthly
cscs_00379,NA,NA
cscs_00380,NA,NA
cscs_00381,NA,A few times a month
cscs_00382,NA,NA
