UNIQUE_id,PSYCH_big_five_inventory_neurotic_score,CONNECTION_activities_greeted_neighbour_or_stranger_p3m
cscs_03295,NA,NA
cscs_03296,11,Daily or almost daily
cscs_03297,NA,Less than monthly
cscs_03298,NA,NA
cscs_03299,NA,NA
cscs_03300,23,Weekly
cscs_03302,NA,NA
cscs_03303,NA,Not in the past three months
cscs_03304,NA,NA
cscs_03305,NA,Weekly
cscs_03306,19,Daily or almost daily
cscs_03307,NA,Daily or almost daily
cscs_03308,NA,Daily or almost daily
cscs_03309,23,Daily or almost daily
cscs_03310,NA,NA
cscs_03311,NA,NA
cscs_03313,NA,Weekly
cscs_03315,NA,A few times a month
cscs_03316,NA,A few times a month
cscs_03318,NA,NA
cscs_03319,NA,Daily or almost daily
cscs_03320,NA,Daily or almost daily
cscs_03321,NA,Weekly
cscs_03323,NA,Less than monthly
cscs_03324,NA,NA
cscs_03326,NA,A few times a month
cscs_03327,NA,NA
cscs_03328,NA,NA
cscs_03329,NA,Monthly
cscs_03331,NA,NA
cscs_03332,31,A few times a week
cscs_03333,NA,NA
cscs_03334,NA,NA
cscs_03336,NA,NA
cscs_03337,NA,NA
cscs_03338,NA,Daily or almost daily
cscs_03339,NA,NA
cscs_03340,NA,NA
cscs_03344,NA,NA
cscs_03345,NA,A few times a month
cscs_03347,28,Daily or almost daily
cscs_03348,26,NA
cscs_03349,NA,Daily or almost daily
cscs_03350,NA,Daily or almost daily
cscs_03350,NA,Daily or almost daily
cscs_03350,NA,Daily or almost daily
cscs_03353,20,Daily or almost daily
cscs_03354,NA,Not in the past three months
cscs_03355,32,A few times a week
cscs_03357,NA,NA
cscs_03358,NA,A few times a month
cscs_03359,25,Daily or almost daily
cscs_03360,32,A few times a month
cscs_03361,NA,NA
cscs_03362,NA,NA
cscs_03363,24,Daily or almost daily
cscs_03364,NA,NA
cscs_03365,22,Monthly
cscs_03366,NA,NA
cscs_03367,NA,NA
cscs_03368,NA,Daily or almost daily
cscs_03368,NA,A few times a week
cscs_03368,NA,A few times a week
cscs_03370,NA,NA
cscs_03371,NA,Less than monthly
cscs_03372,39,A few times a month
cscs_03374,NA,Daily or almost daily
cscs_03375,28,NA
cscs_03376,NA,NA
cscs_03377,NA,Monthly
cscs_03378,NA,NA
cscs_03379,NA,NA
cscs_03381,NA,NA
cscs_03382,NA,Daily or almost daily
cscs_03383,26,Monthly
cscs_03384,NA,Less than monthly
cscs_03385,NA,NA
cscs_03387,NA,A few times a month
cscs_03388,NA,NA
cscs_03389,26,NA
cscs_03390,NA,NA
cscs_03392,NA,NA
cscs_03393,NA,NA
cscs_03395,NA,NA
cscs_03396,NA,NA
cscs_03397,NA,NA
cscs_03398,NA,Daily or almost daily
cscs_03398,NA,Daily or almost daily
cscs_03398,NA,Daily or almost daily
cscs_03399,NA,Daily or almost daily
cscs_03400,NA,NA
cscs_03401,NA,Weekly
cscs_03402,NA,NA
cscs_03403,NA,Daily or almost daily
cscs_03405,NA,A few times a month
cscs_03406,27,Weekly
cscs_03408,NA,NA
cscs_03409,NA,Less than monthly
cscs_03410,NA,NA
cscs_03411,NA,Daily or almost daily
cscs_03411,NA,A few times a week
cscs_03411,NA,NA
cscs_03412,NA,NA
cscs_03413,NA,NA
cscs_03414,NA,NA
cscs_03415,12,A few times a week
cscs_03416,NA,Monthly
cscs_03416,27,Monthly
cscs_03417,NA,A few times a week
cscs_03418,NA,Weekly
cscs_03420,NA,Weekly
cscs_03421,NA,NA
cscs_03422,16,A few times a month
cscs_03423,NA,Less than monthly
cscs_03424,15,Weekly
cscs_03425,NA,Weekly
cscs_03426,NA,Daily or almost daily
cscs_03427,34,A few times a month
cscs_03428,27,Less than monthly
cscs_03429,NA,NA
cscs_03431,NA,NA
cscs_03432,NA,NA
cscs_03433,NA,Less than monthly
cscs_03434,13,Weekly
cscs_03435,NA,NA
cscs_03436,NA,Daily or almost daily
cscs_03437,NA,Monthly
cscs_03438,NA,NA
cscs_03439,NA,NA
cscs_03441,NA,NA
cscs_03442,NA,NA
cscs_03443,27,NA
cscs_03444,27,NA
cscs_03445,17,Daily or almost daily
cscs_03446,NA,NA
cscs_03447,25,Less than monthly
cscs_03448,24,NA
cscs_03449,NA,Daily or almost daily
cscs_03450,16,A few times a week
cscs_03451,NA,NA
cscs_03452,NA,Daily or almost daily
cscs_03452,NA,Monthly
cscs_03452,NA,Weekly
cscs_03453,NA,Weekly
cscs_03454,NA,Daily or almost daily
cscs_03455,NA,NA
cscs_03457,NA,Weekly
cscs_03458,NA,NA
cscs_03459,NA,Not in the past three months
cscs_03460,32,A few times a week
cscs_03461,NA,Daily or almost daily
cscs_03463,NA,Weekly
cscs_03464,20,A few times a week
cscs_03465,21,NA
cscs_03466,NA,A few times a month
cscs_03468,NA,NA
cscs_03469,NA,Daily or almost daily
cscs_03470,NA,Less than monthly
cscs_03471,20,Daily or almost daily
cscs_03472,30,Weekly
cscs_03473,NA,NA
cscs_03474,30,NA
cscs_03475,NA,Monthly
cscs_03476,NA,NA
cscs_03477,31,A few times a week
cscs_03478,NA,A few times a month
cscs_03479,NA,A few times a week
cscs_03479,NA,A few times a week
cscs_03479,NA,A few times a week
cscs_03480,NA,Monthly
cscs_03481,NA,A few times a week
cscs_03482,NA,Weekly
cscs_03483,NA,NA
cscs_03484,NA,Monthly
cscs_03485,25,NA
cscs_03486,NA,A few times a week
cscs_03486,NA,Daily or almost daily
cscs_03487,NA,NA
cscs_03488,NA,A few times a month
cscs_03489,NA,NA
cscs_03490,NA,Monthly
cscs_03491,NA,A few times a month
cscs_03492,17,A few times a month
cscs_03493,NA,NA
cscs_03494,25,A few times a month
cscs_03495,NA,Monthly
cscs_03496,NA,NA
cscs_03497,NA,A few times a month
cscs_03498,NA,NA
cscs_03499,NA,NA
cscs_03500,28,Daily or almost daily
cscs_03501,25,NA
cscs_03502,NA,Weekly
cscs_03503,NA,A few times a month
cscs_03504,NA,NA
cscs_03505,NA,A few times a month
cscs_03506,NA,NA
cscs_03507,16,Daily or almost daily
cscs_03508,NA,NA
cscs_03509,NA,A few times a month
cscs_03510,NA,NA
cscs_03513,NA,NA
cscs_03514,NA,NA
cscs_03515,NA,NA
cscs_03516,NA,NA
cscs_03517,NA,A few times a week
cscs_03518,NA,NA
cscs_03519,NA,Weekly
cscs_03519,NA,Weekly
cscs_03519,NA,Less than monthly
cscs_03520,NA,NA
cscs_03521,24,A few times a month
cscs_03522,30,Daily or almost daily
cscs_03523,NA,NA
cscs_03525,NA,A few times a week
cscs_03526,NA,Less than monthly
cscs_03527,NA,A few times a week
cscs_03529,25,Daily or almost daily
cscs_03530,38,A few times a month
cscs_03531,NA,A few times a month
cscs_03532,NA,NA
cscs_03534,NA,A few times a week
cscs_03535,NA,NA
cscs_03536,NA,Less than monthly
cscs_03537,NA,NA
cscs_03538,37,A few times a month
cscs_03539,NA,Weekly
cscs_03540,NA,Daily or almost daily
cscs_03541,NA,Less than monthly
cscs_03542,NA,Daily or almost daily
cscs_03543,NA,NA
cscs_03544,NA,NA
cscs_03545,33,A few times a month
cscs_03546,NA,A few times a week
cscs_03547,NA,NA
cscs_03548,NA,NA
cscs_03549,NA,A few times a month
cscs_03550,26,Less than monthly
cscs_03552,NA,A few times a month
cscs_03553,NA,A few times a week
cscs_03554,NA,A few times a week
cscs_03554,NA,A few times a week
cscs_03554,NA,Weekly
cscs_03555,NA,Weekly
cscs_03556,NA,NA
cscs_03557,NA,A few times a month
cscs_03558,NA,NA
cscs_03559,NA,NA
cscs_03560,NA,Daily or almost daily
cscs_03561,NA,NA
cscs_03562,10,A few times a week
cscs_03563,NA,Daily or almost daily
cscs_03563,NA,A few times a week
cscs_03564,NA,NA
cscs_03565,NA,Weekly
cscs_03566,NA,NA
cscs_03567,NA,Less than monthly
cscs_03568,NA,A few times a week
cscs_03569,NA,NA
cscs_03570,NA,NA
cscs_03571,NA,NA
cscs_03572,18,Weekly
cscs_03573,31,A few times a week
cscs_03574,17,Daily or almost daily
cscs_03575,NA,A few times a week
cscs_03576,NA,A few times a month
cscs_03578,NA,Weekly
cscs_03579,26,Less than monthly
cscs_03580,NA,A few times a week
cscs_03582,NA,NA
cscs_03583,NA,NA
cscs_03585,25,A few times a month
cscs_03587,NA,A few times a week
cscs_03588,36,Less than monthly
cscs_03589,NA,NA
cscs_03590,NA,Daily or almost daily
cscs_03591,NA,Daily or almost daily
cscs_03592,31,A few times a week
cscs_03593,NA,A few times a week
cscs_03594,29,A few times a week
cscs_03595,NA,A few times a month
cscs_03596,NA,A few times a month
cscs_03598,NA,NA
cscs_03599,NA,NA
cscs_03600,37,NA
cscs_03601,12,Daily or almost daily
cscs_03602,NA,Daily or almost daily
cscs_03602,NA,Daily or almost daily
cscs_03602,NA,Daily or almost daily
cscs_03604,NA,A few times a week
cscs_03605,NA,NA
cscs_03606,NA,A few times a month
cscs_03607,NA,NA
cscs_03608,NA,NA
cscs_03609,NA,Daily or almost daily
cscs_03610,30,A few times a week
cscs_03611,16,Daily or almost daily
cscs_03612,NA,Less than monthly
cscs_03614,NA,NA
cscs_03615,NA,Monthly
cscs_03616,NA,NA
cscs_03617,NA,NA
cscs_03618,NA,Daily or almost daily
cscs_03619,NA,Daily or almost daily
cscs_03620,30,Less than monthly
cscs_03621,NA,Weekly
cscs_03622,NA,NA
cscs_03623,NA,A few times a month
cscs_03624,NA,A few times a week
cscs_03625,NA,NA
cscs_03626,NA,NA
cscs_03627,NA,NA
cscs_03628,17,Daily or almost daily
cscs_03629,NA,A few times a week
cscs_03630,NA,Daily or almost daily
cscs_03630,NA,A few times a week
cscs_03630,NA,A few times a week
cscs_03631,NA,NA
cscs_03632,NA,NA
cscs_03633,NA,Weekly
cscs_03634,NA,Daily or almost daily
cscs_03634,NA,Not in the past three months
cscs_03634,NA,A few times a month
cscs_03635,NA,NA
cscs_03636,NA,A few times a week
cscs_03638,NA,NA
cscs_03639,NA,A few times a month
cscs_03640,NA,NA
cscs_03641,NA,NA
cscs_03642,NA,NA
cscs_03643,NA,NA
cscs_03644,NA,Less than monthly
cscs_03645,15,Daily or almost daily
cscs_03647,NA,NA
cscs_03648,22,Daily or almost daily
cscs_03650,NA,NA
cscs_03651,NA,NA
cscs_03652,NA,NA
cscs_03653,NA,NA
cscs_03654,33,Daily or almost daily
cscs_03655,NA,Daily or almost daily
cscs_03657,27,Daily or almost daily
cscs_03658,NA,Weekly
cscs_03659,24,Daily or almost daily
cscs_03660,NA,Daily or almost daily
cscs_03661,20,Daily or almost daily
cscs_03662,19,Weekly
cscs_03664,11,NA
cscs_03665,NA,A few times a week
cscs_03666,NA,NA
cscs_03667,31,A few times a month
cscs_03668,NA,NA
cscs_03669,NA,Daily or almost daily
cscs_03669,NA,Daily or almost daily
cscs_03669,NA,Daily or almost daily
cscs_03671,20,A few times a month
cscs_03672,NA,NA
cscs_03673,NA,NA
cscs_03674,25,A few times a month
cscs_03675,NA,NA
cscs_03676,NA,NA
cscs_03678,15,A few times a week
cscs_03679,NA,Daily or almost daily
cscs_03680,20,Daily or almost daily
cscs_03681,NA,NA
cscs_03682,NA,Not in the past three months
cscs_03683,NA,NA
cscs_03684,NA,NA
cscs_03685,NA,NA
cscs_03688,NA,A few times a month
cscs_03690,34,Daily or almost daily
cscs_03691,NA,Monthly
cscs_03692,NA,NA
cscs_03693,NA,Daily or almost daily
cscs_03694,NA,Weekly
cscs_03695,NA,NA
cscs_03696,NA,NA
cscs_03697,NA,Less than monthly
cscs_03698,NA,NA
cscs_03699,NA,NA
cscs_03700,NA,NA
cscs_03701,29,A few times a week
cscs_03702,NA,NA
cscs_03703,NA,NA
cscs_03704,NA,Daily or almost daily
cscs_03705,NA,A few times a week
cscs_03706,NA,NA
cscs_03707,NA,NA
cscs_03708,NA,Daily or almost daily
cscs_03709,16,Daily or almost daily
cscs_03710,NA,Weekly
cscs_03711,NA,Less than monthly
cscs_03711,NA,A few times a month
cscs_03711,NA,Monthly
cscs_03712,NA,NA
cscs_03713,24,NA
cscs_03714,NA,A few times a month
cscs_03715,NA,A few times a month
cscs_03716,22,Weekly
cscs_03717,NA,A few times a month
cscs_03718,NA,NA
cscs_03719,NA,A few times a week
cscs_03720,31,A few times a month
cscs_03722,NA,NA
cscs_03723,NA,Daily or almost daily
cscs_03724,NA,A few times a month
cscs_03725,27,A few times a month
cscs_03726,NA,NA
cscs_03727,20,A few times a week
cscs_03728,NA,NA
cscs_03730,25,Less than monthly
cscs_03731,29,NA
cscs_03732,25,Less than monthly
cscs_03733,NA,NA
cscs_03734,27,A few times a week
cscs_03735,32,A few times a month
cscs_03736,29,NA
cscs_03737,NA,Less than monthly
cscs_03738,NA,NA
cscs_03739,NA,NA
cscs_03740,NA,Monthly
cscs_03741,NA,NA
cscs_03742,18,Less than monthly
cscs_03743,NA,NA
cscs_03744,NA,Weekly
cscs_03745,NA,Less than monthly
cscs_03746,NA,Daily or almost daily
cscs_03747,26,Weekly
cscs_03748,NA,NA
cscs_03749,NA,Daily or almost daily
cscs_03751,NA,A few times a month
cscs_03753,NA,NA
cscs_03754,NA,A few times a week
cscs_03755,NA,NA
cscs_03757,NA,NA
cscs_03758,NA,Weekly
cscs_03759,24,NA
cscs_03760,NA,Not in the past three months
cscs_03761,NA,Less than monthly
cscs_03762,NA,NA
cscs_03763,NA,A few times a month
cscs_03764,NA,A few times a month
cscs_03765,NA,NA
cscs_03766,NA,NA
cscs_03767,NA,NA
cscs_03768,NA,Not in the past three months
cscs_03768,NA,Monthly
cscs_03768,NA,Less than monthly
cscs_03771,NA,NA
cscs_03772,NA,NA
cscs_03773,NA,NA
cscs_03774,NA,NA
cscs_03774,NA,Daily or almost daily
cscs_03775,NA,A few times a week
cscs_03776,NA,NA
cscs_03778,NA,A few times a month
cscs_03778,NA,A few times a month
cscs_03778,NA,Monthly
cscs_03779,19,A few times a month
cscs_03780,NA,NA
cscs_03781,31,A few times a month
cscs_03782,NA,NA
cscs_03784,NA,Less than monthly
cscs_03785,24,Weekly
cscs_03786,NA,NA
cscs_03787,NA,NA
cscs_03788,NA,NA
cscs_03789,NA,NA
cscs_03790,NA,Weekly
cscs_03791,NA,A few times a week
cscs_03792,NA,NA
cscs_03794,NA,A few times a week
cscs_03795,NA,Weekly
cscs_03796,NA,NA
cscs_03797,NA,NA
cscs_03799,NA,NA
cscs_03801,15,Weekly
cscs_03802,NA,NA
cscs_03803,NA,NA
cscs_03804,NA,A few times a month
cscs_03805,NA,NA
cscs_03806,NA,NA
cscs_03809,NA,NA
cscs_03810,NA,A few times a week
cscs_03811,NA,NA
cscs_03812,NA,NA
cscs_03813,NA,Daily or almost daily
cscs_03814,NA,Daily or almost daily
cscs_03815,NA,Daily or almost daily
cscs_03816,33,A few times a week
cscs_03817,NA,NA
cscs_03818,15,NA
cscs_03819,30,NA
cscs_03820,NA,A few times a week
cscs_03820,NA,A few times a month
cscs_03820,NA,A few times a week
cscs_03821,NA,NA
cscs_03822,NA,NA
cscs_03823,19,Monthly
cscs_03824,NA,A few times a week
cscs_03825,NA,Daily or almost daily
cscs_03826,NA,NA
cscs_03827,NA,NA
cscs_03828,15,Daily or almost daily
cscs_03829,NA,Weekly
cscs_03830,NA,A few times a week
cscs_03831,NA,NA
cscs_03832,21,Daily or almost daily
cscs_03833,18,Daily or almost daily
cscs_03835,NA,NA
cscs_03836,NA,Weekly
cscs_03837,26,Monthly
cscs_03838,NA,NA
cscs_03840,12,A few times a week
cscs_03841,NA,Daily or almost daily
cscs_03841,NA,A few times a week
cscs_03842,NA,NA
cscs_03843,23,A few times a month
cscs_03844,21,A few times a week
cscs_03845,NA,NA
cscs_03846,31,Daily or almost daily
cscs_03847,22,Monthly
cscs_03848,NA,NA
cscs_03849,NA,A few times a week
cscs_03850,NA,NA
cscs_03851,NA,Weekly
cscs_03851,NA,Not in the past three months
cscs_03851,NA,Monthly
cscs_03852,NA,NA
cscs_03853,NA,NA
cscs_03855,NA,Daily or almost daily
cscs_03856,NA,A few times a week
cscs_03857,NA,Weekly
cscs_03857,NA,Weekly
cscs_03857,NA,A few times a month
cscs_03858,NA,NA
cscs_03859,NA,NA
cscs_03861,NA,NA
cscs_03862,NA,A few times a month
cscs_03862,NA,A few times a month
cscs_03862,NA,Daily or almost daily
cscs_03863,NA,Less than monthly
cscs_03864,NA,NA
cscs_03865,NA,NA
cscs_03866,NA,A few times a week
cscs_03869,NA,NA
cscs_03870,NA,NA
cscs_03871,NA,Weekly
cscs_03872,NA,NA
cscs_03873,NA,Weekly
cscs_03874,NA,A few times a month
cscs_03875,NA,Daily or almost daily
cscs_03876,NA,Weekly
cscs_03878,NA,NA
cscs_03879,NA,NA
cscs_03880,NA,A few times a week
cscs_03880,NA,Less than monthly
cscs_03881,NA,NA
cscs_03882,NA,A few times a month
cscs_03883,NA,NA
cscs_03885,NA,NA
cscs_03886,NA,NA
cscs_03887,NA,Weekly
cscs_03887,16,A few times a week
cscs_03888,NA,NA
cscs_03889,9,A few times a month
cscs_03890,NA,A few times a week
cscs_03891,NA,NA
cscs_03895,28,Weekly
cscs_03896,NA,Daily or almost daily
cscs_03897,NA,A few times a month
cscs_03898,35,Daily or almost daily
cscs_03899,NA,NA
cscs_03900,NA,NA
cscs_03901,17,A few times a week
cscs_03902,23,A few times a week
cscs_03904,NA,NA
cscs_03905,NA,Daily or almost daily
cscs_03906,NA,NA
cscs_03907,NA,A few times a week
cscs_03908,NA,NA
cscs_03909,NA,NA
cscs_03910,NA,NA
cscs_03911,NA,NA
cscs_03912,NA,A few times a month
cscs_03913,21,A few times a month
cscs_03914,NA,Monthly
cscs_03915,17,A few times a month
cscs_03916,NA,NA
cscs_03917,NA,A few times a month
cscs_03917,NA,A few times a week
cscs_03918,NA,Daily or almost daily
cscs_03918,NA,NA
cscs_03919,NA,NA
cscs_03920,NA,NA
cscs_03922,26,A few times a week
cscs_03923,22,Daily or almost daily
cscs_03924,NA,NA
cscs_03925,20,Monthly
cscs_03928,14,A few times a week
cscs_03929,NA,NA
cscs_03930,24,Daily or almost daily
cscs_03931,23,A few times a week
cscs_03932,NA,NA
cscs_03933,NA,NA
cscs_03934,24,Daily or almost daily
cscs_03935,28,A few times a month
cscs_03936,NA,NA
cscs_03937,NA,Daily or almost daily
cscs_03937,NA,Daily or almost daily
cscs_03937,NA,Daily or almost daily
cscs_03938,NA,A few times a month
cscs_03939,NA,A few times a week
cscs_03940,NA,A few times a month
cscs_03941,NA,NA
cscs_03942,NA,Daily or almost daily
cscs_03942,NA,Daily or almost daily
cscs_03943,NA,NA
cscs_03944,13,A few times a week
cscs_03945,NA,NA
cscs_03946,NA,Weekly
cscs_03947,NA,NA
cscs_03948,NA,NA
cscs_03949,NA,NA
cscs_03950,NA,NA
cscs_03951,NA,NA
cscs_03952,NA,NA
cscs_03953,NA,A few times a month
cscs_03953,NA,Less than monthly
cscs_03954,NA,NA
cscs_03955,NA,NA
cscs_03956,NA,NA
cscs_03957,NA,NA
cscs_03958,NA,A few times a week
cscs_03958,NA,Monthly
cscs_03959,NA,NA
cscs_03960,NA,NA
cscs_03961,28,A few times a week
cscs_03962,NA,A few times a week
cscs_03963,NA,NA
cscs_03964,NA,A few times a month
cscs_03965,NA,Monthly
cscs_03966,NA,A few times a week
cscs_03967,NA,NA
cscs_03968,NA,Weekly
cscs_03969,NA,A few times a month
cscs_03970,NA,A few times a week
cscs_03971,NA,NA
cscs_03972,NA,NA
cscs_03974,NA,A few times a week
cscs_03974,NA,A few times a week
cscs_03974,NA,Weekly
cscs_03975,NA,NA
cscs_03976,NA,NA
cscs_03977,26,Weekly
cscs_03978,NA,NA
cscs_03979,NA,Daily or almost daily
cscs_03980,NA,NA
cscs_03981,22,NA
cscs_03982,29,Daily or almost daily
cscs_03984,18,Monthly
cscs_03985,27,NA
cscs_03986,NA,NA
cscs_03987,NA,NA
cscs_03988,32,A few times a week
cscs_03989,28,A few times a week
cscs_03990,NA,A few times a week
cscs_03991,22,NA
cscs_03992,NA,Daily or almost daily
cscs_03993,NA,NA
cscs_03994,NA,Daily or almost daily
cscs_03995,NA,NA
cscs_03996,NA,NA
cscs_03997,NA,A few times a month
cscs_03998,NA,NA
cscs_03999,18,Daily or almost daily
cscs_04000,25,A few times a month
cscs_04001,NA,A few times a week
cscs_04001,NA,Daily or almost daily
cscs_04001,NA,Daily or almost daily
cscs_04002,NA,A few times a month
cscs_04003,NA,Daily or almost daily
cscs_04004,NA,Daily or almost daily
cscs_04005,NA,NA
cscs_04006,NA,NA
cscs_04007,NA,Less than monthly
cscs_04008,18,Daily or almost daily
cscs_04009,NA,A few times a week
cscs_04009,NA,A few times a week
cscs_04010,NA,NA
cscs_04011,NA,Less than monthly
cscs_04012,NA,Daily or almost daily
cscs_04013,NA,NA
cscs_04014,NA,NA
cscs_04015,17,Monthly
cscs_04016,NA,NA
cscs_04019,NA,Daily or almost daily
cscs_04020,NA,NA
cscs_04021,NA,Daily or almost daily
cscs_04022,20,Daily or almost daily
cscs_04023,NA,Less than monthly
cscs_04024,17,A few times a week
cscs_04025,NA,NA
cscs_04026,NA,NA
cscs_04027,NA,Daily or almost daily
cscs_04028,NA,NA
cscs_04029,NA,A few times a month
cscs_04030,NA,NA
cscs_04031,NA,NA
cscs_04032,NA,Daily or almost daily
cscs_04033,NA,A few times a week
cscs_04033,NA,Daily or almost daily
cscs_04033,NA,A few times a week
cscs_04034,NA,NA
cscs_04035,NA,A few times a week
cscs_04035,NA,A few times a week
cscs_04035,NA,Daily or almost daily
cscs_04036,NA,A few times a week
cscs_04036,15,Daily or almost daily
cscs_04036,NA,Daily or almost daily
cscs_04037,25,A few times a week
cscs_04038,NA,A few times a week
cscs_04039,NA,NA
cscs_04040,20,NA
cscs_04041,NA,NA
cscs_04042,NA,NA
cscs_04043,NA,A few times a month
cscs_04044,NA,NA
cscs_04045,19,A few times a month
cscs_04046,NA,A few times a week
cscs_04047,NA,A few times a month
cscs_04048,NA,NA
cscs_04049,NA,A few times a week
cscs_04050,NA,NA
cscs_04051,NA,NA
cscs_04052,NA,NA
cscs_04053,NA,NA
cscs_04054,NA,NA
cscs_04055,NA,A few times a month
cscs_04056,NA,Weekly
cscs_04057,NA,NA
cscs_04058,NA,NA
cscs_04059,NA,A few times a month
cscs_04060,NA,Monthly
cscs_04061,NA,Daily or almost daily
cscs_04062,NA,A few times a week
cscs_04063,NA,Daily or almost daily
cscs_04064,NA,Weekly
cscs_04065,21,A few times a week
cscs_04066,NA,NA
cscs_04067,NA,A few times a week
cscs_04068,NA,NA
cscs_04069,NA,NA
cscs_04070,NA,NA
cscs_04071,NA,A few times a month
cscs_04072,21,Daily or almost daily
cscs_04073,NA,NA
cscs_04075,31,Daily or almost daily
cscs_04076,NA,A few times a month
cscs_04077,NA,Daily or almost daily
cscs_04078,NA,NA
cscs_04079,NA,Monthly
cscs_04080,NA,A few times a month
cscs_04081,NA,Daily or almost daily
cscs_04082,NA,NA
cscs_04083,25,NA
cscs_04084,30,A few times a month
cscs_04085,NA,A few times a month
cscs_04086,NA,Less than monthly
cscs_04087,NA,A few times a week
cscs_04088,NA,Monthly
cscs_04089,NA,Weekly
cscs_04090,33,A few times a month
cscs_04091,25,A few times a month
cscs_04092,NA,NA
cscs_04093,NA,NA
cscs_04094,NA,NA
cscs_04095,NA,A few times a month
cscs_04096,31,A few times a week
cscs_04097,25,Daily or almost daily
cscs_04098,NA,A few times a month
cscs_04100,32,Daily or almost daily
cscs_04101,NA,NA
cscs_04103,NA,NA
cscs_04104,NA,NA
cscs_04105,NA,NA
cscs_04106,NA,NA
cscs_04107,23,A few times a week
cscs_04108,NA,NA
cscs_04109,14,Daily or almost daily
cscs_04110,24,Less than monthly
cscs_04111,NA,Weekly
cscs_04113,NA,NA
cscs_04114,22,Daily or almost daily
cscs_04115,9,A few times a month
cscs_04116,NA,NA
cscs_04118,NA,Monthly
cscs_04119,NA,A few times a month
cscs_04120,14,Monthly
cscs_04121,NA,NA
cscs_04122,NA,NA
cscs_04123,NA,NA
cscs_04124,NA,Monthly
cscs_04125,NA,Weekly
cscs_04126,NA,Daily or almost daily
cscs_04127,17,NA
cscs_04129,NA,NA
cscs_04130,NA,NA
cscs_04131,NA,NA
cscs_04132,NA,A few times a month
cscs_04133,NA,NA
cscs_04134,15,NA
cscs_04135,NA,Less than monthly
cscs_04136,NA,NA
cscs_04137,27,A few times a month
cscs_04139,NA,Weekly
cscs_04140,NA,NA
cscs_04141,NA,Monthly
cscs_04142,NA,NA
cscs_04143,NA,Daily or almost daily
cscs_04144,NA,NA
cscs_04145,NA,Monthly
cscs_04146,18,A few times a week
cscs_04147,23,Monthly
cscs_04148,NA,NA
cscs_04149,13,A few times a week
cscs_04150,NA,Daily or almost daily
cscs_04151,NA,NA
cscs_04152,NA,Monthly
cscs_04153,NA,NA
cscs_04154,17,Daily or almost daily
cscs_04155,NA,A few times a month
cscs_04156,NA,NA
cscs_04158,NA,NA
cscs_04159,NA,NA
cscs_04160,NA,NA
cscs_04161,NA,NA
cscs_04162,NA,Weekly
cscs_04164,27,A few times a week
cscs_04165,NA,Less than monthly
cscs_04166,NA,Daily or almost daily
cscs_04167,NA,NA
cscs_04168,NA,NA
cscs_04169,NA,Less than monthly
cscs_04170,13,Daily or almost daily
cscs_04171,NA,NA
cscs_04172,NA,Daily or almost daily
cscs_04173,NA,A few times a week
cscs_04173,NA,Weekly
cscs_04174,NA,NA
cscs_04175,NA,NA
cscs_04176,26,Daily or almost daily
cscs_04178,26,Less than monthly
cscs_04179,NA,Daily or almost daily
cscs_04181,24,A few times a month
cscs_04182,NA,Weekly
cscs_04183,25,Daily or almost daily
cscs_04184,NA,NA
cscs_04185,NA,Weekly
cscs_04186,NA,Weekly
cscs_04187,NA,NA
cscs_04188,NA,A few times a week
cscs_04189,NA,NA
cscs_04190,NA,NA
cscs_04191,NA,NA
cscs_04192,NA,NA
cscs_04193,NA,A few times a month
cscs_04194,NA,NA
cscs_04195,NA,NA
cscs_04196,NA,NA
cscs_04197,NA,Monthly
cscs_04198,NA,NA
cscs_04199,NA,NA
cscs_04200,NA,NA
cscs_04201,NA,NA
cscs_04202,NA,Less than monthly
cscs_04203,NA,NA
cscs_04204,NA,NA
cscs_04205,NA,NA
cscs_04206,NA,NA
cscs_04207,NA,NA
cscs_04208,NA,NA
cscs_04209,NA,NA
cscs_04210,NA,NA
cscs_04211,16,A few times a month
cscs_04212,NA,NA
cscs_04213,29,Less than monthly
cscs_04214,NA,NA
cscs_04215,NA,NA
cscs_04216,NA,NA
cscs_04217,NA,NA
cscs_04218,NA,NA
cscs_04219,NA,Daily or almost daily
cscs_04220,NA,NA
cscs_04221,17,NA
cscs_04222,NA,A few times a week
cscs_04223,NA,NA
cscs_04224,NA,NA
cscs_04225,NA,Daily or almost daily
cscs_04226,34,Daily or almost daily
cscs_04228,NA,A few times a week
cscs_04229,NA,A few times a month
cscs_04230,NA,A few times a week
cscs_04231,NA,NA
cscs_04232,NA,NA
cscs_04233,NA,NA
cscs_04234,NA,NA
cscs_04235,NA,NA
cscs_04236,NA,NA
cscs_04237,NA,NA
cscs_04238,34,NA
cscs_04239,NA,A few times a week
cscs_04240,NA,NA
cscs_04242,30,Weekly
cscs_04243,20,A few times a month
cscs_04244,NA,NA
cscs_04245,NA,Daily or almost daily
cscs_04245,NA,Daily or almost daily
cscs_04245,NA,Daily or almost daily
cscs_04246,NA,NA
cscs_04247,NA,NA
cscs_04248,NA,NA
cscs_04249,NA,A few times a month
cscs_04251,NA,NA
cscs_04252,37,A few times a week
cscs_04253,NA,NA
cscs_04254,NA,NA
cscs_04255,NA,NA
cscs_04256,NA,NA
cscs_04257,28,NA
cscs_04258,NA,NA
cscs_04259,NA,Daily or almost daily
cscs_04260,NA,NA
